PANNEAU,Libellé de la liste,Nom,Liste
1,POUR UNE HUMANITE SOUVERAINE,Léopold-Edouard DEHER-LESAINT,Autre
2,POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !,Philippe PONGE,Autre
3,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR",Marion MARÉCHAL,Principale
4,LA FRANCE INSOUMISE - UNION POPULAIRE,Manon AUBRY,Principale
5,LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN,Jordan BARDELLA,Principale
6,EUROPE ÉCOLOGIE,Marie TOUSSAINT,Principale
7,FREE PALESTINE,Nagib AZERGUI,Autre
8,"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI",Hélène THOUY,Autre
9,PARTI REVOLUTIONNAIRE COMMUNISTES,Olivier TERRIEN,Autre
10,PARTI PIRATE,Caroline ZORN,Autre
11,BESOIN D'EUROPE,Valérie HAYER,Principale
12,"PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !",Audric ALEXANDRE,Autre
13,ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE,Marine CHOLLEY,Autre
14,ECOLOGIE POSITIVE ET TERRITOIRES,Yann WEHRLING,Autre
15,"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX",François ASSELINEAU,Autre
16,PAIX ET DECROISSANCE,Michel SIMONIN,Autre
17,POUR UNE AUTRE EUROPE,Jean-Marc FORTANÉ,Autre
18,LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE,François-Xavier BELLAMY,Principale
19,LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS,Nathalie ARTHAUD,Autre
20,CHANGER L'EUROPE,Pierre LARROUTUROU,Autre
21,NOUS LE PEUPLE,Georges RENARD-KUZMANOVIC,Autre
22,"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !",Selma LABIB,Autre
23,"POUR LE PAIN, LA PAIX, LA LIBERTÉ ! PRÉSENTÉE PAR LE PARTI DES TRAVAILLEURS",Camille ADOUE,Autre
24,L'EUROPE CA SUFFIT !,Florian PHILIPPOT,Autre
25,NON ! PRENONS-NOUS EN MAINS,Edouard HUSSON,Autre
26,FORTERESSE EUROPE - LISTE D'UNITE NATIONALISTE,Pierre-Marie BONNEAU,Autre
27,RÉVEILLER L'EUROPE,Raphaël GLUCKSMANN,Principale
28,"NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL",Charles HOAREAU,Autre
29,ALLIANCE RURALE,Jean LASSALLE,Autre
30,FRANCE LIBRE,Francis LALANNE,Autre
31,EUROPE TERRITOIRES ÉCOLOGIE,Guillaume LACROIX,Autre
32,LA RUCHE CITOYENNE,Lorys ELMAYAN,Autre
33,GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL,Léon DEFFONTAINES,Autre
34,DEFENDRE LES ENFANTS,Gaël COSTE-MEUNIER,Autre
35,ÉCOLOGIE AU CENTRE,Jean Marc GOVERNATORI,Autre
36,DEMOCRATIE REPRESENTATIVE,Hamada TRAORÉ,Autre
37,ESPERANTO LANGUE COMMUNE,Laure PATAS D'ILLIERS,Autre
38,LIBERTÉ DÉMOCRATIQUE FRANÇAISE,Patrice GRUDÉ,Autre